,crime_type,crime_nb,precinct,zipcode
364,Housing ,0,6,10011
365,Housing ,0,70,11230
366,Housing ,1,71,11225
367,Housing ,0,72,11232
368,Housing ,266,73,11212
369,Housing ,206,75,11208
370,Housing ,112,76,11231
371,Housing ,93,77,11213
372,Housing ,15,78,11217
373,Housing ,202,79,11211
374,Housing ,126,7,10002
375,Housing ,77,81,11221
376,Housing ,37,83,11237
377,Housing ,39,84,11201
378,Housing ,101,88,11205
379,Housing ,150,90,11211
380,Housing ,24,94,11222
381,Housing ,95,9,10003
382,Housing ,0,CPP,10024
383,Housing ,4,MNP,10019
384,Housing ,0,MSP,10001
385,Misd. Assault ,278,100,11693
386,Misd. Assault ,456,101,11691
387,Misd. Assault ,572,102,11418
388,Misd. Assault ,864,103,11432
389,Misd. Assault ,602,104,11385
390,Misd. Assault ,694,105,11428
391,Misd. Assault ,469,106,11417
392,Misd. Assault ,366,107,11365
393,Misd. Assault ,464,108,11105
394,Misd. Assault ,749,109,11354
395,Misd. Assault ,270,10,10011
396,Misd. Assault ,751,110,11368
397,Misd. Assault ,120,111,11361
398,Misd. Assault ,209,112,11375
399,Misd. Assault ,735,113,11434
400,Misd. Assault ,899,114,11103
401,Misd. Assault ,1044,115,11372
402,Misd. Assault ,752,120,10301
403,Misd. Assault ,494,121,None
404,Misd. Assault ,309,122,10306
405,Misd. Assault ,198,123,10307
406,Misd. Assault ,423,13,10010
407,Misd. Assault ,204,17,10017
408,Misd. Assault ,317,19,10021
409,Misd. Assault ,293,1,10013
410,Misd. Assault ,233,20,10020
411,Misd. Assault ,579,23,10029
412,Misd. Assault ,276,24,10025
413,Misd. Assault ,588,25,10035
414,Misd. Assault ,222,26,10027
415,Misd. Assault ,414,28,10027
416,Misd. Assault ,516,30,10028
417,Misd. Assault ,681,32,10030
418,Misd. Assault ,395,33,10031
419,Misd. Assault ,510,34,10033
420,Misd. Assault ,1184,40,10454
421,Misd. Assault ,705,41,10459
422,Misd. Assault ,901,42,10452
423,Misd. Assault ,1443,43,10472
424,Misd. Assault ,1167,44,10452
425,Misd. Assault ,487,45,10465
426,Misd. Assault ,1220,46,10457
427,Misd. Assault ,931,47,10466
428,Misd. Assault ,927,48,10457
429,Misd. Assault ,590,49,10461
430,Misd. Assault ,326,50,10463
431,Misd. Assault ,1001,52,10467
432,Misd. Assault ,271,5,10013
433,Misd. Assault ,588,60,11224
434,Misd. Assault ,409,61,11223
435,Misd. Assault ,631,62,11214
436,Misd. Assault ,282,63,11210
437,Misd. Assault ,338,66,11218
438,Misd. Assault ,1114,67,11226
439,Misd. Assault ,309,68,11220
440,Misd. Assault ,397,69,11236
441,Misd. Assault ,299,6,10011
442,Misd. Assault ,754,70,11230
443,Misd. Assault ,619,71,11225
444,Misd. Assault ,481,72,11232
445,Misd. Assault ,1097,73,11212
446,Misd. Assault ,1832,75,11208
447,Misd. Assault ,153,76,11231
448,Misd. Assault ,699,77,11213
449,Misd. Assault ,203,78,11217
450,Misd. Assault ,792,79,11211
451,Misd. Assault ,325,7,10002
452,Misd. Assault ,600,81,11221
453,Misd. Assault ,731,83,11237
454,Misd. Assault ,310,84,11201
455,Misd. Assault ,345,88,11205
456,Misd. Assault ,469,90,11211
457,Misd. Assault ,244,94,11222
458,Misd. Assault ,410,9,10003
459,Misd. Assault ,24,CPP,10024
460,Misd. Assault ,523,MNP,10019
461,Misd. Assault ,576,MSP,10001
462,Misd. Sex Crimes ,9,100,11693
463,Misd. Sex Crimes ,19,101,11691
464,Misd. Sex Crimes ,45,102,11418
465,Misd. Sex Crimes ,48,103,11432
466,Misd. Sex Crimes ,27,104,11385
467,Misd. Sex Crimes ,26,105,11428
468,Misd. Sex Crimes ,24,106,11417
469,Misd. Sex Crimes ,34,107,11365
470,Misd. Sex Crimes ,65,108,11105
471,Misd. Sex Crimes ,39,109,11354
472,Misd. Sex Crimes ,16,10,10011
473,Misd. Sex Crimes ,76,110,11368
474,Misd. Sex Crimes ,9,111,11361
475,Misd. Sex Crimes ,22,112,11375
476,Misd. Sex Crimes ,44,113,11434
477,Misd. Sex Crimes ,78,114,11103
478,Misd. Sex Crimes ,61,115,11372
479,Misd. Sex Crimes ,49,120,10301
480,Misd. Sex Crimes ,42,121,None
481,Misd. Sex Crimes ,23,122,10306
482,Misd. Sex Crimes ,9,123,10307
483,Misd. Sex Crimes ,99,13,10010
484,Misd. Sex Crimes ,45,17,10017
485,Misd. Sex Crimes ,77,19,10021
486,Misd. Sex Crimes ,36,1,10013
487,Misd. Sex Crimes ,31,20,10020
488,Misd. Sex Crimes ,46,23,10029
489,Misd. Sex Crimes ,29,24,10025
490,Misd. Sex Crimes ,39,25,10035
491,Misd. Sex Crimes ,31,26,10027
492,Misd. Sex Crimes ,23,28,10027
493,Misd. Sex Crimes ,30,30,10028
494,Misd. Sex Crimes ,39,32,10030
495,Misd. Sex Crimes ,23,33,10031
496,Misd. Sex Crimes ,29,34,10033
497,Misd. Sex Crimes ,80,40,10454
498,Misd. Sex Crimes ,31,41,10459
499,Misd. Sex Crimes ,38,42,10452
500,Misd. Sex Crimes ,71,43,10472
501,Misd. Sex Crimes ,66,44,10452
502,Misd. Sex Crimes ,29,45,10465
503,Misd. Sex Crimes ,55,46,10457
504,Misd. Sex Crimes ,76,47,10466
505,Misd. Sex Crimes ,51,48,10457
506,Misd. Sex Crimes ,33,49,10461
507,Misd. Sex Crimes ,15,50,10463
508,Misd. Sex Crimes ,54,52,10467
509,Misd. Sex Crimes ,28,5,10013
510,Misd. Sex Crimes ,38,60,11224
511,Misd. Sex Crimes ,27,61,11223
512,Misd. Sex Crimes ,40,62,11214
513,Misd. Sex Crimes ,24,63,11210
514,Misd. Sex Crimes ,39,66,11218
515,Misd. Sex Crimes ,60,67,11226
516,Misd. Sex Crimes ,30,68,11220
517,Misd. Sex Crimes ,22,69,11236
518,Misd. Sex Crimes ,30,6,10011
519,Misd. Sex Crimes ,53,70,11230
520,Misd. Sex Crimes ,58,71,11225
521,Misd. Sex Crimes ,70,72,11232
522,Misd. Sex Crimes ,55,73,11212
523,Misd. Sex Crimes ,99,75,11208
524,Misd. Sex Crimes ,11,76,11231
525,Misd. Sex Crimes ,62,77,11213
526,Misd. Sex Crimes ,18,78,11217
527,Misd. Sex Crimes ,49,79,11211
528,Misd. Sex Crimes ,15,7,10002
529,Misd. Sex Crimes ,43,81,11221
530,Misd. Sex Crimes ,69,83,11237
531,Misd. Sex Crimes ,22,84,11201
532,Misd. Sex Crimes ,15,88,11205
533,Misd. Sex Crimes ,53,90,11211
534,Misd. Sex Crimes ,21,94,11222
535,Misd. Sex Crimes ,32,9,10003
536,Misd. Sex Crimes ,2,CPP,10024
537,Misd. Sex Crimes ,66,MNP,10019
538,Misd. Sex Crimes ,134,MSP,10001
539,Murder ,0,100,11693
540,Murder ,4,101,11691
541,Murder ,3,102,11418
542,Murder ,9,103,11432
543,Murder ,3,104,11385
544,Murder ,7,105,11428
545,Murder ,1,106,11417
546,Murder ,1,107,11365
547,Murder ,1,108,11105
548,Murder ,6,109,11354
549,Murder ,0,10,10011
550,Murder ,6,110,11368
551,Murder ,0,111,11361
552,Murder ,0,112,11375
553,Murder ,7,113,11434
554,Murder ,2,114,11103
555,Murder ,6,115,11372
556,Murder ,6,120,10301
557,Murder ,4,121,None
558,Murder ,2,122,10306
559,Murder ,1,123,10307
560,Murder ,0,13,10010
561,Murder ,0,17,10017
